FECHA,HORA,AUTO DESIGNADO,NOMBRE RESERVA,ORIGEN,DESTINO,ESTADO,COMENTARIOS
2025-02-24,15:30:00,,Nicolás ,HOTEL BOSQUE,CLUB HOUSE,OK,
2025-02-24,16:30:00,,Thiago Wild,HOTEL VITACURA,CLUB HOUSE,OK,
2025-02-24,16:30:00,,Fernando Romboli,HOTEL BOSQUE,CLUB HOUSE,OK,
2025-02-24,16:30:00,,Monteiro + ,HOTEL BOSQUE,CLUB HOUSE,OK,
2025-02-24,17:30:00,,Joao Duarte,HOTEL VITACURA,CLUB HOUSE,OK,
2025-02-24,17:30:00,,Juampa Ficovich,HOTEL BOSQUE,CLUB HOUSE,OK,
2025-02-24,19:30:00,,Miro Bratoev,HOTEL VITACURA,CLUB HOUSE,OK,
2025-02-25,08:30:00,FERNANDO ,Dante Gennaro,HOTEL BOSQUE,CLUB HOUSE,OK,
2025-02-25,09:00:00,LUIS,Wallner and Schnsitter,HOTEL BOSQUE,CLUB HOUSE,OK,
2025-02-25,09:00:00,VICTOR,Thiago Tirante ,HOTEL BOSQUE,CLUB HOUSE,OK,
2025-02-25,09:30:00,LUIS,Diego Hidalgo ,HOTEL BOSQUE,CLUB HOUSE,OK,
2025-02-25,09:30:00,SEBASTIAN R,Tomás Etcheverry,HOTEL BOSQUE,CLUB HOUSE,OK,
2025-02-25,09:30:00,SEBASTIAN F,Diego Junqueira ,HOTEL BOSQUE,CLUB HOUSE,OK,
2025-02-25,10:00:00,,Moutet +3,HOTEL BOSQUE,CLUB HOUSE,OK,
2025-02-25,10:00:00,,Kilian Feldbausch,HOTEL BOSQUE,CLUB HOUSE,OK,
2025-02-25,10:00:00,,Leonardo Mayer,HOTEL BOSQUE,CLUB HOUSE,OK,
2025-02-25,10:00:00,,Hugo Gaston ,HOTEL BOSQUE,CLUB HOUSE,OK,
2025-02-25,10:30:00,,Luciano Darderi,HOTEL BOSQUE,CLUB HOUSE,OK,
2025-02-25,10:30:00,,Molteni + 2,HOTEL BOSQUE,CLUB HOUSE,OK,
2025-02-25,10:30:00,,Monteiro + 2,HOTEL BOSQUE,CLUB HOUSE,OK,
2025-02-25,10:30:00,,Crionet (2 Autos),HOTEL VITACURA,CLUB HOUSE,OK,
2025-02-25,10:30:00,,Sebastián Garbini,HOTEL BOSQUE,CLUB HOUSE,OK,
2025-02-25,10:30:00,,Barrientos Bollipalli,HOTEL BOSQUE,CLUB HOUSE,OK,
2025-02-25,10:30:00,,Ryan Seggerman,HOTEL BOSQUE,CLUB HOUSE,OK,
2025-02-25,11:00:00,,Camilo Carabelli,HOTEL BOSQUE,CLUB HOUSE,OK,
2025-02-25,11:00:00,,Sebastián Prieto,HOTEL BOSQUE,CLUB HOUSE,OK,
2025-02-25,11:00:00,,Orlando luz,HOTEL BOSQUE,CLUB HOUSE,OK,
2025-02-25,11:00:00,,Hawkeye,HOTEL VITACURA,CLUB HOUSE,OK,
2025-02-25,11:00:00,,Pedro Martinez ,HOTEL BOSQUE,CLUB HOUSE,OK,
2025-02-25,11:00:00,,Coach Nico Jarry,HOTEL BOSQUE,CLUB HOUSE,OK,
2025-02-25,11:00:00,,Dzumhur Damir,HOTEL BOSQUE,CLUB HOUSE,OK,
2025-02-25,11:00:00,,Fran Piantini + 2,HOTEL BOSQUE,HOTEL VITACURA,OK,
2025-02-25,11:30:00,,Djere + Coach,HOTEL BOSQUE,CLUB HOUSE,OK,
2025-02-25,11:30:00,,Rogerio Santos,HOTEL VITACURA,CLUB HOUSE,OK,
2025-02-25,11:30:00,,Francisco Cabral + 1,HOTEL BOSQUE,CLUB HOUSE,OK,
2025-02-25,11:30:00,,Alexandra Granda,HOTEL VITACURA,CLUB HOUSE,OK,
2025-02-25,11:30:00,,Crionet,HOTEL VITACURA,CLUB HOUSE,OK,
2025-02-25,11:30:00,,Gregorie Jacq,HOTEL BOSQUE,CLUB HOUSE,OK,
2025-02-25,11:30:00,,Ignacio Buse,HOTEL VITACURA,CLUB HOUSE,OK,
2025-02-25,11:30:00,,Marcelo Zormann,HOTEL BOSQUE,CLUB HOUSE,OK,
2025-02-25,11:30:00,,Coria,HOTEL BOSQUE,CLUB HOUSE,OK,
2025-02-25,12:00:00,,Yannick Hanfmann,HOTEL BOSQUE,CLUB HOUSE,OK,
2025-02-25,12:00:00,,Felipe Meligeni,HOTEL VITACURA,CLUB HOUSE,OK,
2025-02-25,12:00:00,,Juampi Ficovich,HOTEL BOSQUE,CLUB HOUSE,OK,
2025-02-25,12:00:00,,Susana,HOTEL BOSQUE,CLUB HOUSE,OK,
2025-02-25,12:00:00,,Mariano Bruno + Tilly,HOTEL VITACURA,CLUB HOUSE,OK,
2025-02-25,12:00:00,,Damian Steiner,HOTEL VITACURA,CLUB HOUSE,OK,
2025-02-25,12:00:00,,Pol Martin,HOTEL BOSQUE,CLUB HOUSE,OK,
